2022-04-17 10:19:53,769 | root | INFO | GUI started, opening serial port COM11
2022-04-17 10:19:53,884 | root | INFO | Got Msg: {"id":"Radio","msg":"RxDone","level":32,"tick":697200,"stack":258}
2022-04-17 10:19:53,885 | root | INFO | Got Msg: {"id":"Radio","msg":"RX","level":16,"tick":697209,"rssi":-90,"snr":5.25,"len":14,"data":"+QqgB8kH9gEAAAAADAM=","stack":258}
2022-04-17 10:19:53,885 | root | INFO | Decoded Text: <invalid base64>
2022-04-17 10:19:53,890 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":697210,"stack":258}
2022-04-17 10:19:55,308 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":698652,"stack":258}
2022-04-17 10:19:55,875 | root | INFO | Got Msg: {"id":"Radio","msg":"wait RxDone","level":32,"tick":699218,"stack":258}
2022-04-17 10:19:56,657 | root | INFO | Got Msg: {"id":"Radio","msg":"RxDone","level":32,"tick":700005,"stack":258}
2022-04-17 10:19:56,678 | root | INFO | Got Msg: {"id":"Radio","msg":"RX","level":16,"tick":700014,"rssi":-90,"snr":5,"len":14,"data":"BQugB8mH9QEAAAAADAM=","stack":258}
2022-04-17 10:19:56,678 | root | INFO | Decoded Text: <invalid base64>
2022-04-17 10:19:56,686 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":700015,"stack":258}
2022-04-17 10:19:58,078 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":701424,"stack":258}
2022-04-17 10:19:58,667 | root | INFO | Got Msg: {"id":"Radio","msg":"wait RxDone","level":32,"tick":702006,"stack":258}
2022-04-17 10:19:59,438 | root | INFO | Got Msg: {"id":"Radio","msg":"RxDone","level":32,"tick":702793,"stack":258}
2022-04-17 10:19:59,458 | root | INFO | Got Msg: {"id":"Radio","msg":"RX","level":16,"tick":702802,"rssi":-89,"snr":6,"len":14,"data":"EQugB8iH9QEAAAAADAM=","stack":258}
2022-04-17 10:19:59,458 | root | INFO | Decoded Text: <invalid base64>
2022-04-17 10:19:59,468 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":702803,"stack":258}
2022-04-17 10:20:00,868 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":704212,"stack":258}
2022-04-17 10:20:01,444 | root | INFO | Got Msg: {"id":"Radio","msg":"wait RxDone","level":32,"tick":704793,"stack":258}
2022-04-17 10:20:02,232 | root | INFO | Got Msg: {"id":"Radio","msg":"RxDone","level":32,"tick":705580,"stack":258}
2022-04-17 10:20:02,252 | root | INFO | Got Msg: {"id":"Radio","msg":"RX","level":16,"tick":705590,"rssi":-90,"snr":5.5,"len":14,"data":"HQugB8kH9gEAAAAADAM=","stack":258}
2022-04-17 10:20:02,252 | root | INFO | Decoded Text: <invalid base64>
2022-04-17 10:20:02,258 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":705590,"stack":258}
2022-04-17 10:20:03,649 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":706999,"stack":258}
2022-04-17 10:20:04,230 | root | INFO | Got Msg: {"id":"Radio","msg":"wait RxDone","level":32,"tick":707579,"stack":258}
2022-04-17 10:20:05,027 | root | INFO | Got Msg: {"id":"Radio","msg":"RxDone","level":32,"tick":708366,"stack":258}
